AWS_Region,CFE_Region,Region,Coordinates,PUE,EM_Region,Carbon_Intensity,RealTime,Zone
af-south-1,South Africa,Africa (Cape Town),"-33.9253,18.4239 ",1.15,SOUTH AFRICA,736,Yes,ZA
ap-east-1,Hong Kong,Asia Pacific (Hong Kong),"22.3,114.2",1.15,,710,No,CN
ap-northeast-1,Tokyo,Asia Pacific (Tokyo),"35.6897,139.692",1.15,TOKYO,591,Yes,JP-TK
ap-northeast-2,South Korea,Asia Pacific (Seoul),"37.56,126.99",1.15,SOUTH KOREA,391,Yes,KR
ap-northeast-3,Kansai,Asia Pacific (Osaka),"34.6939,135.502",1.15,KANSAI,354,Yes,JP-KN
ap-south-1,Maharashtra,Asia Pacific (Mumbai),"19.0761,72.8775",1.15,WESTERN INDIA,751,Yes,IN-WE
ap-south-2,India,Asia Pacific (Hyderabad),"17.385,78.4867 ",1.15,SOUTHERN INDIA,688,Yes,IN-SO
ap-southeast-1,Singapore,Asia Pacific (Singapore),"1.3,103.8",1.15,SINGAPORE,495,Yes,SG
ap-southeast-2,New South Wales,Asia Pacific (Sydney),"-33.8678,151.21",1.15,NEW SOUTH WALES,708,Yes,AU-NSW
ap-southeast-3,,Asia Pacific (Jakarta),"-6.175,106.8275 ",1.15,,556,No,ID
ap-southeast-4,Victoria,Asia Pacific (Melbourne),"-37.8142,144.963",1.15,VICTORIA,724,Yes,AU-VIC
ca-central-1,Quebec,Canada (Central),"45.5089,-73.5617",1.15,QUEBEC,39,Yes,CA-QC
ca-west-1,Canada,Canada (West),"53.726669,-127.647621",1.15,BRITISH COLUMBIA,65,Yes,CA-BC
eu-central-1,Germany,Europe (Frankfurt),"50.1106,8.6822",1.15,GERMANY,458,Yes,DE
eu-central-2,Switzerland,Europe (Zurich),"47.3744,8.5411",1.15,SWITZERLAND,78,Yes,CH
eu-north-1,Sweden,Europe (Stockholm),"59.3294,18.0686 ",1.15,SOUTH CENTRAL SWEDEN,27,Yes,SE-SE3
eu-south-1,North Italy,Europe (Milan),"45.4669,9.19",1.15,NORTH ITALY,344,Yes,IT-NO
eu-south-2,Spain,Europe (Spain),"40.3333,-3.8667",1.15,SPAIN,100,Yes,ES
eu-west-1,Ireland,Europe (Ireland),"53.35,-6.2603 ",1.15,IRELAND,453,Yes,IE
eu-west-2,Great Britain,Europe (London),"51.726,-0.3",1.15,GREAT BRITAIN,284,Yes,GB
eu-west-3,France,Europe (Paris),"48.8567,2.3522",1.15,FRANCE,35,Yes,FR
il-central-1,Israel,Israel (Tel Aviv),"32.0167,34.7667",1.15,ISREAL,568,Yes,IL
me-central-1,UAE,Middle East (UAE),"25.2631,55.2972 ",1.15,UNITED ARAB EMIRATES,432,Yes,AE
me-south-1,Bahrain,Middle East (Bahrain),"26.219,50.538 ",1.15,BAHRAIN,700,Yes,BH
sa-east-1,Central Brazil,South America (Sï¿½o Paulo),"-3.45,-68.95",1.15,CENTRAL BRAZIL,72,Yes,BR-CS
us-east-1,PJM,US East (N. Virginia),"39.1057,-77.5544 ",1.15,PJM,335,Yes,US-MIDA-PJM
us-east-2,PJM,US East (Ohio),"39.8689,-84.3292 ",1.15,PJM,335,Yes,US-MIDA-PJM
us-gov-east-1,PJM,GovCloud (US East),"39.1057,-77.5544 ",1.15,PJM,335,Yes,US-MIDA-PJM
us-gov-west-1,BPA,GovCloud (US West),"45.5371,-122.65 ",1.15,CAISO,55,Yes,US-CAL-CISO
us-west-1,CAISO,US West (N. California),"34.0497,-118.1326 ",1.15,CAISO,55,Yes,US-CAL-CISO
us-west-2,BPA,US West (Oregon),"45.5371,-122.65 ",1.15,PACIFICORP WEST,246,Yes,US-NW-PACW
